panitia_id;jabatan;mhs_id;nilai;komentar
21011080030;Wakil Ketua Divisi Lapangan;53118085;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011080031;Wakil Ketua Divisi Logistik;54218025;A;Selalu datang dan mengerjakan tugasnya
21011080032;Wakil Ketua Divisi Media;51318048;A;Selalu hadir rapat 100% dan fokus
21011080033;Wakil Ketua Divisi Medis;53218034;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011080034;Wakil Ketua Divisi MSDM;52118002;B;"Sering datang kumpul, bagus"
21011080035;Wakil Ketua Divisi Sponsor;55118007;A;Selalu kumpul dan tidak pernah terlambat
21011080036;Wakil Ketua Divisi Atletik;51318024;A;Selalu hadir rapat 100% dan fokus
21011080037;Wakil Ketua Divisi Badminton;55218032;B;Rajin datang dan mengerjakan tugasnya
21011080038;Wakil Ketua Divisi Basket;55218068;A;Kerja bagus dan sangat bisa dipercaya
21011080039;Wakil Ketua Divisi Catur;53318040;C;Kontribusi tidak banyak
21011080040;Wakil Ketua Divisi Sepak Bola;56118067;A;Selalu kumpul dan tidak pernah terlambat
21011080041;Wakil Ketua Divisi Tenis;55218070;A;Selalu kumpul dan tidak pernah terlambat
21011080042;Wakil Ketua Divisi Voli;55318016;B;Kehadiran > 80%
21011090043;Sekretaris Divisi Acara;56118035;B;Rajin rapat dan kalau telat konfirmasi
21011090044;Sekretaris Divisi Artistik;57218001;B;Selalu ikut rapat namun kurang aktif
21011090045;Sekretaris Divisi Dokumentasi;56218123;A;Selalu datang dan mengerjakan tugasnya
21011090046;Sekretaris Divisi Humas;51218020;B;Kehadiran > 80%
21011090047;Sekretaris Divisi Kreatif;57218008;A;Mengerjakan tugas dengan sangat baik
21011090048;Sekretaris Divisi Lapangan;55418002;A;Performa sangat baik
21011090049;Sekretaris Divisi Logistik;56118055;A;Selalu hadir rapat 100% dan fokus
21011090050;Sekretaris Divisi Media;55118003;A;Performa sangat baik
21011090051;Sekretaris Divisi Medis;55218040;A;Beberapa kali terlambat namun konfirmasi
21011090052;Sekretaris Divisi MSDM;54118064;A;Beberapa kali terlambat namun konfirmasi
21011090053;Sekretaris Divisi Sponsor;51318040;B;"Sering datang kumpul, bagus"
21011090054;Sekretaris Divisi Atletik;58218031;A;Selalu datang dan mengerjakan tugasnya
21011090055;Sekretaris Divisi Badminton;56218130;A;Selalu datang dan mengerjakan tugasnya
21011090056;Sekretaris Divisi Basket;56218069;A;Selalu kumpul dan tidak pernah terlambat
21011090057;Sekretaris Divisi Catur;53118073;C;Kehadiran sekitar 50%
21011090058;Sekretaris Divisi Sepak Bola;55218071;B;Mengerjakan tugas dengan baik
21011090059;Sekretaris Divisi Tenis;57218044;A;Beberapa kali terlambat namun konfirmasi
21011090060;Sekretaris Divisi Voli;53218058;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100061;Anggota Divisi Acara;51320025;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100062;Anggota Divisi Acara;52119075;A;Kerja bagus dan sangat bisa dipercaya
21011100063;Anggota Divisi Acara;52120133;A;Beberapa kali terlambat namun konfirmasi
21011100064;Anggota Divisi Acara;53220077;B;Kehadiran > 80%
21011100065;Anggota Divisi Acara;53219080;A;Kontribusi banyak dan sangat baik
21011100066;Anggota Divisi Acara;55319033;C;Rajin kumpul tapi selalu terlambat
21011100067;Anggota Divisi Acara;56120035;A;Selalu hadir rapat 100% dan fokus
21011100068;Anggota Divisi Acara;51219028;A;Kontribusi banyak dan sangat baik
21011100069;Anggota Divisi Acara;56119043;A;Selalu kumpul dan tidak pernah terlambat
21011100070;Anggota Divisi Acara;51120134;A;Mengerjakan tugas dengan sangat baik
21011100071;Anggota Divisi Acara;53219075;C;Sering izin di tengah rapat
21011100072;Anggota Divisi Acara;52120104;C;Rajin rapat tapi selalu terlambat
21011100073;Anggota Divisi Acara;53220005;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100074;Anggota Divisi Acara;53220007;B;Mengerjakan tugas dengan baik
21011100075;Anggota Divisi Acara;55119013;A;Beberapa kali terlambat namun konfirmasi
21011100076;Anggota Divisi Acara;56120022;B;Selalu ikut rapat namun pasif
21011100077;Anggota Divisi Acara;52119065;B;"Sering datang kumpul, bagus"
21011100078;Anggota Divisi Acara;51120060;B;Rajin rapat dan kalau telat konfirmasi
21011100079;Anggota Divisi Acara;58119037;A;Selalu kumpul dan tidak pernah terlambat
21011100080;Anggota Divisi Acara;55119081;A;Selalu datang dan mengerjakan tugasnya
21011100081;Anggota Divisi Artistik;57319016;B;Selalu ikut rapat namun pasif
21011100082;Anggota Divisi Artistik;55219061;A;Kerja bagus dan sangat bisa dipercaya
21011100083;Anggota Divisi Artistik;53120012;B;"Sering datang kumpul, bagus"
21011100084;Anggota Divisi Artistik;55220085;A;Beberapa kali terlambat namun konfirmasi
21011100085;Anggota Divisi Artistik;57220022;B;Selalu ikut rapat namun pasif
21011100086;Anggota Divisi Artistik;57220050;A;Kerja bagus dan sangat bisa dipercaya
21011100087;Anggota Divisi Artistik;57319023;B;Kontribusi lumayan baik
21011100088;Anggota Divisi Artistik;57219016;D;Kehadiran <30%
21011100089;Anggota Divisi Artistik;57119041;E;Absen 0
21011100090;Anggota Divisi Artistik;57119022;A;Selalu ikut rapat dan aktif
21011100091;Anggota Divisi Artistik;57219041;A;Selalu ikut rapat dan aktif
21011100092;Anggota Divisi Artistik;57120006;B;Kontribusi lumayan baik
21011100093;Anggota Divisi Artistik;57319028;A;Selalu hadir rapat 100% dan fokus
21011100094;Anggota Divisi Artistik;57120040;B;Selalu ikut rapat namun pasif
21011100095;Anggota Divisi Artistik;57220044;A;Mengerjakan tugas dengan sangat baik
21011100096;Anggota Divisi Artistik;57220036;A;Performa sangat baik
21011100097;Anggota Divisi Artistik;57119027;C;Sering izin di tengah rapat
21011100098;Anggota Divisi Artistik;57319020;E;Tidak pernah ikut kumpul
21011100099;Anggota Divisi Artistik;57220032;A;Kerja bagus dan sangat bisa dipercaya
21011100100;Anggota Divisi Artistik;57119001;C;Kehadiran sekitar 50%
21011100101;Anggota Divisi Dokumentasi;55419033;A;Kerja bagus dan sangat bisa dipercaya
21011100102;Anggota Divisi Dokumentasi;52120088;B;"Sering datang kumpul, bagus"
21011100103;Anggota Divisi Dokumentasi;55219010;D;Kehadiran <30%
21011100104;Anggota Divisi Dokumentasi;53120080;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100105;Anggota Divisi Dokumentasi;57120040;A;Beberapa kali terlambat namun konfirmasi
21011100106;Anggota Divisi Dokumentasi;54219015;A;Kontribusi banyak dan sangat baik
21011100107;Anggota Divisi Dokumentasi;56220100;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100108;Anggota Divisi Dokumentasi;51219027;A;Selalu kumpul dan tidak pernah terlambat
21011100109;Anggota Divisi Dokumentasi;55319032;A;Selalu ikut rapat dan aktif
21011100110;Anggota Divisi Dokumentasi;51119133;A;Selalu datang dan mengerjakan tugasnya
21011100111;Anggota Divisi Humas;54120010;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100112;Anggota Divisi Humas;52120091;B;Rajin datang dan mengerjakan tugasnya
21011100113;Anggota Divisi Humas;56220069;A;Selalu hadir rapat 100% dan fokus
21011100114;Anggota Divisi Humas;51319029;A;Selalu hadir rapat 100% dan fokus
21011100115;Anggota Divisi Humas;52119018;C;Rajin rapat tapi selalu terlambat
21011100116;Anggota Divisi Humas;51120128;C;Rajin rapat tapi selalu terlambat
21011100117;Anggota Divisi Humas;56119041;C;Kontribusi tidak banyak
21011100118;Anggota Divisi Humas;56220040;D;Jarang datang rapat
21011100119;Anggota Divisi Humas;51220009;D;Jarang rapat dan jika datang selalu terlambat
21011100120;Anggota Divisi Humas;57319003;C;Sering izin di tengah rapat
21011100121;Anggota Divisi Kreatif;55120081;B;Kontribusi lumayan baik
21011100122;Anggota Divisi Kreatif;55320028;C;Lumayan sering datang kumpul
21011100123;Anggota Divisi Kreatif;54220011;B;Kontribusi lumayan baik
21011100124;Anggota Divisi Kreatif;55120013;A;Performa sangat baik
21011100125;Anggota Divisi Kreatif;53119045;B;Rajin rapat dan kalau telat konfirmasi
21011100126;Anggota Divisi Kreatif;51120039;C;Lumayan sering datang kumpul
21011100127;Anggota Divisi Kreatif;58220011;A;Mengerjakan tugas dengan sangat baik
21011100128;Anggota Divisi Kreatif;51120038;E;Tidak Berdedikasi
21011100129;Anggota Divisi Kreatif;54120090;B;"Sering datang kumpul, bagus"
21011100130;Anggota Divisi Kreatif;55220099;A;Kontribusi banyak dan sangat baik
21011100131;Anggota Divisi Kreatif;51119047;A;Kerja bagus dan sangat bisa dipercaya
21011100132;Anggota Divisi Kreatif;57219045;A;Mengerjakan tugas dengan sangat baik
21011100133;Anggota Divisi Kreatif;57119024;C;Rajin rapat tapi selalu terlambat
21011100134;Anggota Divisi Kreatif;57220040;B;Selalu ikut rapat namun pasif
21011100135;Anggota Divisi Kreatif;57220014;A;Selalu hadir rapat 100% dan fokus
21011100136;Anggota Divisi Kreatif;57320027;B;Selalu ikut rapat namun pasif
21011100137;Anggota Divisi Kreatif;57219010;A;Selalu datang dan mengerjakan tugasnya
21011100138;Anggota Divisi Kreatif;57119014;B;Kehadiran > 80%
21011100139;Anggota Divisi Kreatif;57120027;A;Selalu datang dan mengerjakan tugasnya
21011100140;Anggota Divisi Kreatif;57220013;D;Tidak memperhatikan saat kumpul
21011100141;Anggota Divisi Kreatif;57120039;E;"Hanya absen di wa saja, tidak datang rapat"
21011100142;Anggota Divisi Kreatif;57320019;C;Sering izin di tengah kumpul
21011100143;Anggota Divisi Kreatif;57220037;A;Selalu hadir rapat 100% dan fokus
21011100144;Anggota Divisi Kreatif;57219035;B;Selalu ikut rapat namun pasif
21011100145;Anggota Divisi Kreatif;57319002;C;Kehadiran sekitar 50%
21011100146;Anggota Divisi Lapangan;54120002;A;Beberapa kali terlambat namun konfirmasi
21011100147;Anggota Divisi Lapangan;51320041;C;Sering izin di tengah kumpul
21011100148;Anggota Divisi Lapangan;54119038;D;Kehadiran <30%
21011100149;Anggota Divisi Lapangan;51120014;E;Tidak Berdedikasi
21011100150;Anggota Divisi Lapangan;52219012;C;Rajin kumpul tapi selalu terlambat
21011100151;Anggota Divisi Lapangan;55220034;E;Kehadiran dibawah 2x
21011100152;Anggota Divisi Lapangan;55120044;D;Kurang kontribusi
21011100153;Anggota Divisi Lapangan;55320006;A;Selalu datang dan mengerjakan tugasnya
21011100154;Anggota Divisi Lapangan;55220009;D;Tidak memperhatikan saat kumpul
21011100155;Anggota Divisi Lapangan;51119141;C;Kontribusi tidak banyak
21011100156;Anggota Divisi Lapangan;55119015;A;Performa sangat baik
21011100157;Anggota Divisi Lapangan;55119021;C;Rajin kumpul tapi selalu terlambat
21011100158;Anggota Divisi Lapangan;56120043;B;Rajin rapat dan kalau telat konfirmasi
21011100159;Anggota Divisi Lapangan;53120049;C;Rajin kumpul tapi selalu terlambat
21011100160;Anggota Divisi Lapangan;55120055;E;"Hanya absen di wa saja, tidak datang rapat"
21011100161;Anggota Divisi Lapangan;57120012;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100162;Anggota Divisi Lapangan;55119038;D;Kehadiran <30%
21011100163;Anggota Divisi Lapangan;58220034;A;Mengerjakan tugas dengan sangat baik
21011100164;Anggota Divisi Lapangan;53119080;C;Lumayan sering datang kumpul
21011100165;Anggota Divisi Lapangan;53319014;B;Selalu ikut rapat namun kurang aktif
21011100166;Anggota Divisi Lapangan;54220010;C;Kehadiran sekitar 50%
21011100167;Anggota Divisi Lapangan;54220014;A;Selalu hadir rapat 100% dan fokus
21011100168;Anggota Divisi Lapangan;55119024;B;Kontribusi lumayan baik
21011100169;Anggota Divisi Lapangan;56219113;A;Beberapa kali terlambat namun konfirmasi
21011100170;Anggota Divisi Lapangan;53320017;B;Selalu ikut rapat namun kurang aktif
21011100171;Anggota Divisi Lapangan;56220061;E;Kehadiran dibawah 2x
21011100172;Anggota Divisi Lapangan;52120024;A;Mengerjakan tugas dengan sangat baik
21011100173;Anggota Divisi Lapangan;52119138;C;Kehadiran sekitar 50%
21011100174;Anggota Divisi Lapangan;52219048;B;Kontribusi lumayan baik
21011100175;Anggota Divisi Lapangan;54120009;B;Rajin datang dan mengerjakan tugasnya
21011100176;Anggota Divisi Logistik;58120010;D;Kehadiran <30%
21011100177;Anggota Divisi Logistik;56119078;B;Selalu ikut rapat namun kurang aktif
21011100178;Anggota Divisi Logistik;55320030;C;Kehadiran sekitar 50%
21011100179;Anggota Divisi Logistik;52120015;A;Kerja bagus dan sangat bisa dipercaya
21011100180;Anggota Divisi Logistik;56219006;A;Selalu hadir rapat 100% dan fokus
21011100181;Anggota Divisi Logistik;51219064;C;Sering izin di tengah kumpul
21011100182;Anggota Divisi Logistik;54120025;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100183;Anggota Divisi Logistik;52219011;A;Selalu kumpul dan tidak pernah terlambat
21011100184;Anggota Divisi Logistik;53219039;B;Mengerjakan tugas dengan baik
21011100185;Anggota Divisi Logistik;51120146;C;Rajin kumpul tapi selalu terlambat
21011100186;Anggota Divisi Logistik;53320030;B;"Sering datang kumpul, bagus"
21011100187;Anggota Divisi Logistik;52219049;A;Beberapa kali terlambat namun konfirmasi
21011100188;Anggota Divisi Logistik;52119110;B;Mengerjakan tugas dengan baik
21011100189;Anggota Divisi Logistik;57119017;C;Lumayan sering datang kumpul
21011100190;Anggota Divisi Logistik;55419023;A;Mengerjakan tugas dengan sangat baik
21011100191;Anggota Divisi Logistik;51119138;B;Mengerjakan tugas dengan baik
21011100192;Anggota Divisi Logistik;56119091;B;Kehadiran > 80%
21011100193;Anggota Divisi Logistik;58119003;A;Selalu kumpul dan tidak pernah terlambat
21011100194;Anggota Divisi Logistik;56119096;B;Kehadiran > 80%
21011100195;Anggota Divisi Logistik;58219040;A;Selalu datang dan mengerjakan tugasnya
21011100196;Anggota Divisi Logistik;53219042;C;Rajin rapat tapi selalu terlambat
21011100197;Anggota Divisi Logistik;52119059;C;Kehadiran sekitar 50%
21011100198;Anggota Divisi Logistik;52219013;A;Mengerjakan tugas dengan sangat baik
21011100199;Anggota Divisi Logistik;56220034;A;Beberapa kali terlambat namun konfirmasi
21011100200;Anggota Divisi Logistik;52219015;A;Selalu kumpul dan tidak pernah terlambat
21011100201;Anggota Divisi Logistik;52220069;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100202;Anggota Divisi Logistik;53120002;D;Kurang kontribusi
21011100203;Anggota Divisi Logistik;55219097;D;Kehadiran <30%
21011100204;Anggota Divisi Logistik;51319005;A;Selalu hadir rapat 100% dan fokus
21011100205;Anggota Divisi Logistik;53219014;D;Kurang kontribusi
21011100206;Anggota Divisi Logistik;53220049;A;Performa sangat baik
21011100207;Anggota Divisi Logistik;52120054;C;Lumayan sering datang kumpul
21011100208;Anggota Divisi Logistik;52119064;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100209;Anggota Divisi Logistik;51320010;E;Kehadiran dibawah 2x
21011100210;Anggota Divisi Logistik;58119015;A;Performa sangat baik
21011100211;Anggota Divisi Logistik;52119144;D;Tidak memperhatikan saat kumpul
21011100212;Anggota Divisi Logistik;54120024;A;Kerja bagus dan sangat bisa dipercaya
21011100213;Anggota Divisi Logistik;53220016;A;Kerja bagus dan sangat bisa dipercaya
21011100214;Anggota Divisi Logistik;55220061;A;Beberapa kali terlambat namun konfirmasi
21011100215;Anggota Divisi Logistik;52219036;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100216;Anggota Divisi Media;53219040;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100217;Anggota Divisi Media;56219029;C;Rajin kumpul tapi selalu terlambat
21011100218;Anggota Divisi Media;54119063;C;Sering izin di tengah kumpul
21011100219;Anggota Divisi Media;54119032;B;Kontribusi lumayan baik
21011100220;Anggota Divisi Media;56220047;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100221;Anggota Divisi Media;54219002;D;Kurang kontribusi
21011100222;Anggota Divisi Media;55219066;A;Kerja bagus dan sangat bisa dipercaya
21011100223;Anggota Divisi Media;58119028;E;Tidak Berdedikasi
21011100224;Anggota Divisi Media;58220020;A;Selalu datang dan mengerjakan tugasnya
21011100225;Anggota Divisi Media;51320023;C;Rajin rapat tapi selalu terlambat
21011100226;Anggota Divisi Medis;53119008;A;Selalu kumpul dan tidak pernah terlambat
21011100227;Anggota Divisi Medis;53120060;D;Tidak memperhatikan saat kumpul
21011100228;Anggota Divisi Medis;51119056;B;Rajin rapat dan kalau telat konfirmasi
21011100229;Anggota Divisi Medis;54120070;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100230;Anggota Divisi Medis;52120120;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100231;Anggota Divisi Medis;52119079;B;Rajin rapat dan kalau telat konfirmasi
21011100232;Anggota Divisi Medis;56119034;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100233;Anggota Divisi Medis;55120064;D;Kurang kontribusi
21011100234;Anggota Divisi Medis;55320001;A;Mengerjakan tugas dengan sangat baik
21011100235;Anggota Divisi Medis;55120082;C;Lumayan sering datang kumpul
21011100236;Anggota Divisi Medis;57219011;B;Selalu ikut rapat namun pasif
21011100237;Anggota Divisi Medis;56119012;C;Kehadiran sekitar 50%
21011100238;Anggota Divisi Medis;52120097;A;Selalu kumpul dan tidak pernah terlambat
21011100239;Anggota Divisi Medis;55219019;C;Sering izin di tengah kumpul
21011100240;Anggota Divisi Medis;56220118;C;Rajin rapat tapi selalu terlambat
21011100241;Anggota Divisi MSDM;51119003;A;Kontribusi banyak dan sangat baik
21011100242;Anggota Divisi MSDM;54120041;A;Selalu datang dan mengerjakan tugasnya
21011100243;Anggota Divisi MSDM;56219101;A;Kerja bagus dan sangat bisa dipercaya
21011100244;Anggota Divisi MSDM;58220038;B;Mengerjakan tugas dengan baik
21011100245;Anggota Divisi MSDM;57119036;C;Sering izin di tengah kumpul
21011100246;Anggota Divisi MSDM;58220016;C;Rajin rapat tapi selalu terlambat
21011100247;Anggota Divisi MSDM;57220048;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100248;Anggota Divisi MSDM;58119042;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100249;Anggota Divisi MSDM;51220013;A;Selalu kumpul dan tidak pernah terlambat
21011100250;Anggota Divisi MSDM;56220068;A;Kerja bagus dan sangat bisa dipercaya
21011100251;Anggota Divisi Sponsor;51220038;C;Rajin rapat tapi selalu terlambat
21011100252;Anggota Divisi Sponsor;56219037;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100253;Anggota Divisi Sponsor;51120133;A;Selalu ikut rapat dan aktif
21011100254;Anggota Divisi Sponsor;55219059;C;Lumayan sering datang kumpul
21011100255;Anggota Divisi Sponsor;52119143;A;Selalu kumpul dan tidak pernah terlambat
21011100256;Anggota Divisi Sponsor;58220007;B;Rajin datang dan mengerjakan tugasnya
21011100257;Anggota Divisi Sponsor;56219079;C;Kontribusi tidak banyak
21011100258;Anggota Divisi Sponsor;54120016;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100259;Anggota Divisi Sponsor;51119143;C;Rajin kumpul tapi selalu terlambat
21011100260;Anggota Divisi Sponsor;53319043;A;Selalu hadir rapat 100% dan fokus
21011100261;Anggota Divisi Sponsor;54120017;B;Selalu ikut rapat namun kurang aktif
21011100262;Anggota Divisi Sponsor;56220093;C;Sering izin di tengah rapat
21011100263;Anggota Divisi Sponsor;55220020;C;Sering izin di tengah rapat
21011100264;Anggota Divisi Sponsor;54220024;B;Selalu ikut rapat namun pasif
21011100265;Anggota Divisi Sponsor;55420043;A;Kerja bagus dan sangat bisa dipercaya
21011100266;Anggota Divisi Sponsor;56119049;B;Beberapa kali terlambat namun konfirmasi
21011100267;Anggota Divisi Sponsor;58219036;C;Rajin kumpul tapi selalu terlambat
21011100268;Anggota Divisi Sponsor;55120080;E;Absen 0
21011100269;Anggota Divisi Sponsor;51120065;C;Rajin rapat tapi selalu terlambat
21011100270;Anggota Divisi Sponsor;55220080;A;Mengerjakan tugas dengan sangat baik
21011100271;Anggota Divisi Sponsor;58219006;A;Kerja bagus dan sangat bisa dipercaya
21011100272;Anggota Divisi Sponsor;55420049;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100273;Anggota Divisi Sponsor;55220012;A;Selalu hadir rapat 100% dan fokus
21011100274;Anggota Divisi Sponsor;53219009;C;Sering izin di tengah kumpul
21011100275;Anggota Divisi Sponsor;51219021;A;Selalu ikut rapat dan aktif
21011100276;Anggota Divisi Sponsor;51219032;D;Jarang datang rapat
21011100277;Anggota Divisi Sponsor;53320003;A;Selalu kumpul dan tidak pernah terlambat
21011100278;Anggota Divisi Sponsor;56219137;A;Kerja bagus dan sangat bisa dipercaya
21011100279;Anggota Divisi Sponsor;55119078;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100280;Anggota Divisi Sponsor;53320036;A;Mengerjakan tugas dengan sangat baik
21011100281;Anggota Divisi Atletik;53219077;A;Kontribusi banyak dan sangat baik
21011100282;Anggota Divisi Atletik;52119088;C;Rajin rapat tapi selalu terlambat
21011100283;Anggota Divisi Atletik;56219094;A;Selalu kumpul dan tidak pernah terlambat
21011100284;Anggota Divisi Atletik;57320015;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100285;Anggota Divisi Atletik;56119045;A;Selalu kumpul dan tidak pernah terlambat
21011100286;Anggota Divisi Atletik;56119088;A;Selalu kumpul dan tidak pernah terlambat
21011100287;Anggota Divisi Atletik;56219082;E;"Hanya absen di wa saja, tidak datang rapat"
21011100288;Anggota Divisi Atletik;53120059;E;Absen 0
21011100289;Anggota Divisi Atletik;53120035;C;Sering izin di tengah kumpul
21011100290;Anggota Divisi Atletik;53120046;A;Selalu datang dan mengerjakan tugasnya
21011100291;Anggota Divisi Badminton;55320019;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100292;Anggota Divisi Badminton;51319024;A;Selalu ikut rapat dan aktif
21011100293;Anggota Divisi Badminton;53120036;A;Beberapa kali terlambat namun konfirmasi
21011100294;Anggota Divisi Badminton;56219046;E;"Hanya absen di wa saja, tidak datang rapat"
21011100295;Anggota Divisi Badminton;56119030;C;Sering izin di tengah kumpul
21011100296;Anggota Divisi Badminton;53119020;C;Kontribusi tidak banyak
21011100297;Anggota Divisi Badminton;57220041;A;Kerja bagus dan sangat bisa dipercaya
21011100298;Anggota Divisi Badminton;56220145;A;Selalu datang dan mengerjakan tugasnya
21011100299;Anggota Divisi Badminton;53320021;A;Kerja bagus dan sangat bisa dipercaya
21011100300;Anggota Divisi Badminton;56119072;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100301;Anggota Divisi Basket;51120044;E;"Hanya absen di wa saja, tidak datang rapat"
21011100302;Anggota Divisi Basket;55419037;B;Kehadiran > 80%
21011100303;Anggota Divisi Basket;56220030;C;Kontribusi tidak banyak
21011100304;Anggota Divisi Basket;56219047;B;Selalu ikut rapat namun kurang aktif
21011100305;Anggota Divisi Basket;56220071;C;Cukup rajin datang rapat tapi tidak mengerjakan tugasnya
21011100306;Anggota Divisi Basket;54119058;B;"Sering datang kumpul, bagus"
21011100307;Anggota Divisi Basket;51319026;A;Kerja bagus dan sangat bisa dipercaya
21011100308;Anggota Divisi Basket;56220083;C;Rajin rapat tapi selalu terlambat
21011100309;Anggota Divisi Basket;53119070;A;Selalu datang dan mengerjakan tugasnya
21011100310;Anggota Divisi Basket;51219060;D;Jarang rapat dan jika datang selalu terlambat
21011100311;Anggota Divisi Catur;51119127;A;Kerja bagus dan sangat bisa dipercaya
21011100312;Anggota Divisi Catur;51119149;B;Rajin rapat dan kalau telat konfirmasi
21011100313;Anggota Divisi Catur;52119090;B;Kehadiran > 80%
21011100314;Anggota Divisi Catur;52220037;B;Kehadiran > 80%
21011100315;Anggota Divisi Catur;56119092;A;Beberapa kali terlambat namun konfirmasi
21011100316;Anggota Divisi Catur;53120026;A;Selalu ikut rapat dan aktif
21011100317;Anggota Divisi Catur;55219073;B;Rajin datang dan mengerjakan tugasnya
21011100318;Anggota Divisi Catur;54120066;B;Rajin datang dan mengerjakan tugasnya
21011100319;Anggota Divisi Catur;52219073;C;Sering izin di tengah kumpul
21011100320;Anggota Divisi Catur;54120069;B;Rajin datang dan mengerjakan tugasnya
21011100321;Anggota Divisi Sepak Bola;58220018;A;Kerja bagus dan sangat bisa dipercaya
21011100322;Anggota Divisi Sepak Bola;53120071;A;Beberapa kali terlambat namun konfirmasi
21011100323;Anggota Divisi Sepak Bola;55319049;B;Selalu ikut rapat namun pasif
21011100324;Anggota Divisi Sepak Bola;55419027;C;Cukup rajin kumpul tapi tidak mengerjakan tugasnya
21011100325;Anggota Divisi Sepak Bola;56119057;A;Selalu kumpul dan tidak pernah terlambat
21011100326;Anggota Divisi Sepak Bola;57120005;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011100327;Anggota Divisi Sepak Bola;54120003;A;Selalu ikut rapat dan aktif
